series_id,model,mean_smape,std_smape
11,CatBoost (Direct ML),3.4550892599496428,1.6022674273538695
11,Stacking Ensemble,11.601567638234416,1.5915657495299667
12,AutoTheta (Local Stat),29.690223081054878,9.336688463106643
12,CatBoost (Direct ML),15.127912568371494,9.405990380547523
12,Stacking Ensemble,21.02354979235363,7.902018059322565
13,AutoTheta (Local Stat),14.889800474174649,0.7912338299580507
13,CatBoost (Direct ML),6.075650803057914,2.84561672742939
13,Stacking Ensemble,10.144069232741879,1.344481125518266
14,AutoTheta (Local Stat),18.265072850542193,1.0842113225158638
14,CatBoost (Direct ML),2.8350574407619695,0.3454074701120535
14,Stacking Ensemble,9.495687259407608,0.7624408895734066
15,AutoTheta (Local Stat),19.206277178989136,1.1792353153298125
15,CatBoost (Direct ML),4.309635002561904,1.5255572871498966
15,Stacking Ensemble,11.49332860158944,1.1870878894015788
16,AutoTheta (Local Stat),18.043945366717747,0.45860242712161925
16,CatBoost (Direct ML),1.9469086824110242,0.5772405634372137
16,Stacking Ensemble,10.034850876977762,0.6772147394449192
17,AutoTheta (Local Stat),19.03983028481161,0.9807677785063655
17,CatBoost (Direct ML),2.5848639838800413,0.557065759183069
17,Stacking Ensemble,10.023048096447628,1.0842411902512925
18,AutoTheta (Local Stat),17.661998023070623,1.3334600410687727
18,CatBoost (Direct ML),3.177135851648641,0.2941281411852572
18,Stacking Ensemble,8.796182619780557,1.5007533656784444
19,AutoTheta (Local Stat),18.741527738388573,1.3393410795495868
19,CatBoost (Direct ML),4.189388304608007,1.6232404039281847
19,Stacking Ensemble,8.62659868485103,1.9936603979473437
20,AutoTheta (Local Stat),19.936973239355257,2.722253735361202
20,CatBoost (Direct ML),4.9994549836876425,1.3465500350277755
20,Stacking Ensemble,11.274631000678731,3.136242151762695
21,AutoTheta (Local Stat),6.3961640291325565,0.9547856691020357
21,CatBoost (Direct ML),3.5876008520299565,1.3331848240804072
21,Stacking Ensemble,4.916106577169992,0.521724753229037
22,AutoTheta (Local Stat),21.828348165481714,0.9144532025351774
22,CatBoost (Direct ML),5.059500065075404,0.9760839719255905
22,Stacking Ensemble,12.34486356748035,0.7353280635983457
23,AutoTheta (Local Stat),37.61914304137988,1.7189080329317599
23,CatBoost (Direct ML),7.1506156314446185,0.8966261034373119
23,Stacking Ensemble,20.15428215345363,1.2052908925534627
24,AutoTheta (Local Stat),13.425689392206104,1.1663924542590718
24,CatBoost (Direct ML),4.904576360681926,1.9717204173071357
24,Stacking Ensemble,9.18917159907373,1.2708848178043224
25,AutoTheta (Local Stat),18.165147596504127,0.40029698214476805
25,CatBoost (Direct ML),5.985274646760906,3.5001263828782254
25,Stacking Ensemble,11.488067284630432,1.6466854638794681
26,AutoTheta (Local Stat),19.08941360019392,1.2751864296689417
26,CatBoost (Direct ML),3.089753502703647,1.0674825828114511
26,Stacking Ensemble,10.636458529003137,1.590944532109289
27,AutoTheta (Local Stat),20.304283951045974,1.3974549961372102
27,CatBoost (Direct ML),4.312474130474391,1.6993638198045953
27,Stacking Ensemble,12.077019338414367,0.7068418561785053
28,AutoTheta (Local Stat),16.060211980426384,0.6897567206788925
28,CatBoost (Direct ML),5.355909858303893,0.5571345509405203
28,Stacking Ensemble,9.967361586162605,0.696640559581767
29,AutoTheta (Local Stat),15.614330585698186,0.9350959246955497
29,CatBoost (Direct ML),5.936693820633233,2.3443512625225265
29,Stacking Ensemble,9.929826641378648,0.8297912737910699
30,AutoTheta (Local Stat),15.409449110175869,1.2748053908151034
30,CatBoost (Direct ML),4.764278840744015,0.6914239131313847
30,Stacking Ensemble,9.484361815401606,0.9922978199701522
31,AutoTheta (Local Stat),15.216824671654026,1.3519157464671065
31,CatBoost (Direct ML),4.813379237418953,0.6084479983587392
31,Stacking Ensemble,9.445138328238182,1.1192518432859904
32,AutoTheta (Local Stat),21.25678317488813,1.2015755684840137
32,CatBoost (Direct ML),2.002828505377797,0.19215004539456698
32,Stacking Ensemble,12.037225018047081,1.0910682128406515
33,AutoTheta (Local Stat),14.44622049736269,1.3260440674520635
33,CatBoost (Direct ML),2.5531802450048473,0.48040673966739916
33,Stacking Ensemble,8.264760579647099,1.0864324944532093
34,AutoTheta (Local Stat),9.85536480453971,1.5869983383597024
34,CatBoost (Direct ML),4.627728551950071,1.3545099667490015
34,Stacking Ensemble,6.330799741549705,1.941420290971285
35,AutoTheta (Local Stat),17.167300545400078,0.45649516886266434
35,CatBoost (Direct ML),6.70405106734184,3.8156446268328184
35,Stacking Ensemble,11.26594903549813,1.3138766351610414
36,AutoTheta (Local Stat),17.404470376014512,2.6521993888757383
36,CatBoost (Direct ML),8.183722729308945,0.649163741841217
36,Stacking Ensemble,11.961456787424984,2.165414723052348
37,AutoTheta (Local Stat),17.67662106369843,3.069965268564573
37,CatBoost (Direct ML),8.900651907711124,3.0212139058167335
37,Stacking Ensemble,12.36091436534185,1.6850492264392145
38,AutoTheta (Local Stat),15.616611243612455,0.9351455237336302
38,CatBoost (Direct ML),5.766586391473713,2.422695987229656
38,Stacking Ensemble,9.86977226143476,0.8608005230957292
